[Cyc:0000043845 F:0000] PC:0x00803b | 48          | PHA          | A:0xff00 | X:0xa330 | Y:0xa330 | SP:0xff | P:0x27 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:16 E:0
[Cyc:0000043846 F:0000] PC:0x00803c | AB          | PLB          | A:0xff00 | X:0xa330 | Y:0xa330 | SP:0xfe | P:0x27 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:16 E:0
[Cyc:0000043847 F:0000] PC:0x00803d | C2 20       | REP          | A:0xff00 | X:0xa330 | Y:0xa330 | SP:0xff | P:0x27 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:16 E:0
[Cyc:0000043848 F:0000] PC:0x00803f | E2 10       | SEP          | A:0xff00 | X:0xa330 | Y:0xa330 | SP:0xff | P:0x07 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:16 X:16 E:0
[Cyc:0000043849 F:0000] PC:0x008041 | A9 00 00    | LDA #        | A:0xff00 | X:0xa330 | Y:0xa330 | SP:0xff | P:0x17 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:16 X:8 E:0
[Cyc:0000043850 F:0000] PC:0x008044 | 8D 00 00    | STA abs      | A:0x0000 | X:0xa330 | Y:0xa330 | SP:0xff | P:0x17 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:16 X:8 E:0
[Cyc:0000043851 F:0000] PC:0x008047 | A2 7F       | LDX #        | A:0x0000 | X:0xa330 | Y:0xa330 | SP:0xff | P:0x17 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:16 X:8 E:0
[Cyc:0000043852 F:0000] PC:0x008049 | 8E 02 00    | STX abs      | A:0x0000 | X:0xa37f | Y:0xa330 | SP:0xff | P:0x15 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:16 X:8 E:0
[Cyc:0000043853 F:0000] PC:0x00804c | 20 37 D8    | JSR          | A:0x0000 | X:0xa37f | Y:0xa330 | SP:0xff | P:0x15 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:16 X:8 E:0

subroutine call : 0x00d837
[Cyc:0000043854 F:0000] PC:0x00d837 | 08          | PHP          | A:0x0000 | X:0xa37f | Y:0xa330 | SP:0xfd | P:0x15 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:16 X:8 E:0
[Cyc:0000043855 F:0000] PC:0x00d838 | C2 30       | REP          | A:0x0000 | X:0xa37f | Y:0xa330 | SP:0xfc | P:0x15 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:16 X:8 E:0
[Cyc:0000043856 F:0000] PC:0x00d83a | A0 00 00    | LDY #        | A:0x0000 | X:0xa37f | Y:0xa330 | SP:0xfc | P:0x05 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:16 X:16 E:0
[Cyc:0000043857 F:0000] PC:0x00d83d | A9 AA BB    | LDA #        | A:0x0000 | X:0xa37f | Y:0x0000 | SP:0xfc | P:0x07 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:16 X:16 E:0
[Cyc:0000043858 F:0000] PC:0x00d840 | CD 40 21    | CMP abs      | A:0xbbaa | X:0xa37f | Y:0x0000 | SP:0xfc | P:0x85 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:16 X:16 E:0
[Cyc:0000043859 F:0000] PC:0x00d843 | D0 FB       | BNE          | A:0xbbaa | X:0xa37f | Y:0x0000 | SP:0xfc | P:0x07 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:16 X:16 E:0
[Cyc:0000043860 F:0000] PC:0x00d845 | E2 20       | SEP          | A:0xbbaa | X:0xa37f | Y:0x0000 | SP:0xfc | P:0x07 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:16 X:16 E:0
[Cyc:0000043861 F:0000] PC:0x00d847 | A9 CC       | LDA #        | A:0xbbaa | X:0xa37f | Y:0x0000 | SP:0xfc | P:0x27 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:16 E:0
[Cyc:0000043862 F:0000] PC:0x00d849 | 80 26       | BRA          | A:0xbbcc | X:0xa37f | Y:0x0000 | SP:0xfc | P:0xa5 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:16 E:0
[Cyc:0000043863 F:0000] PC:0x00d871 | 48          | PHA          | A:0xbbcc | X:0xa37f | Y:0x0000 | SP:0xfc | P:0xa5 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:16 E:0
[Cyc:0000043864 F:0000] PC:0x00d872 | C2 20       | REP          | A:0xbbcc | X:0xa37f | Y:0x0000 | SP:0xfb | P:0xa5 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:8 X:16 E:0
[Cyc:0000043865 F:0000] PC:0x00d874 | B7 00       | LDA [dp],Y   | A:0xbbcc | X:0xa37f | Y:0x0000 | SP:0xfb | P:0x85 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:16 X:16 E:0
[Cyc:0000043866 F:0000] PC:0x00d876 | C8          | INY          | A:0x0000 | X:0xa37f | Y:0x0000 | SP:0xfb | P:0x07 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:16 X:16 E:0
[Cyc:0000043867 F:0000] PC:0x00d877 | C8          | INY          | A:0x0000 | X:0xa37f | Y:0x0001 | SP:0xfb | P:0x05 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:16 X:16 E:0
[Cyc:0000043868 F:0000] PC:0x00d878 | AA          | TAX          | A:0x0000 | X:0xa37f | Y:0x0002 | SP:0xfb | P:0x05 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:16 X:16 E:0
[Cyc:0000043869 F:0000] PC:0x00d879 | B7 00       | LDA [dp],Y   | A:0x0000 | X:0x0000 | Y:0x0002 | SP:0xfb | P:0x07 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:16 X:16 E:0
[Cyc:0000043870 F:0000] PC:0x00d87b | C8          | INY          | A:0x007f | X:0x0000 | Y:0x0002 | SP:0xfb | P:0x05 | DBR:0x00 | PBR:0x00 | D:0x0000 | M:16 X:16 E:0
