=== CPU-APU Port Communication Trace ===
Format: [CPU->APU] or [SPC->CPU] Port X = value | details
========================================
APU: SPC700 wrote port 0 = 0xaa (old=0x0, PC=0xffcc)
APU: SPC700 wrote port 0 = 0x4d (old=0x4c, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x4e (old=0x4d, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x4f (old=0x4e, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x50 (old=0x4f, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x51 (old=0x50, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x52 (old=0x51, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x53 (old=0x52, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x54 (old=0x53, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x55 (old=0x54, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x56 (old=0x55, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x57 (old=0x56, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x58 (old=0x57, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x59 (old=0x58, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x5a (old=0x59, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x5b (old=0x5a, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x5c (old=0x5b, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x5d (old=0x5c, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x5e (old=0x5d, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x5f (old=0x5e, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x60 (old=0x5f, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x61 (old=0x60, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x62 (old=0x61, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x63 (old=0x62, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x64 (old=0x63, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x65 (old=0x64, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x66 (old=0x65, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x67 (old=0x66, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x68 (old=0x67, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x69 (old=0x68, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x6a (old=0x69, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x6b (old=0x6a, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x6c (old=0x6b, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x6d (old=0x6c, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x6e (old=0x6d, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x6f (old=0x6e, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x70 (old=0x6f, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x71 (old=0x70, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x72 (old=0x71, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x73 (old=0x72, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x74 (old=0x73, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x75 (old=0x74, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x76 (old=0x75, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x77 (old=0x76, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x78 (old=0x77, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x79 (old=0x78, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x7a (old=0x79, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x7b (old=0x7a, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x7c (old=0x7b, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x7d (old=0x7c, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x7e (old=0x7d, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x7f (old=0x7e, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x80 (old=0x7f, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x81 (old=0x80, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x82 (old=0x81, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x83 (old=0x82, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x84 (old=0x83, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x85 (old=0x84, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x86 (old=0x85, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x87 (old=0x86, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x88 (old=0x87, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x89 (old=0x88, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x8a (old=0x89, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x8b (old=0x8a, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x8c (old=0x8b, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x8d (old=0x8c, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x8e (old=0x8d, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x8f (old=0x8e, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x90 (old=0x8f, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x91 (old=0x90, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x92 (old=0x91, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x93 (old=0x92, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x94 (old=0x93, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x95 (old=0x94, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x96 (old=0x95, PC=0xffe2)
APU: SPC700 wrote port 0 = 0x97 (old=0x96, PC=0xffe2)
