=== PPU Rendering Trace ===
Format: [Frame] Scanline | Event | Details
========================================
[Cyc:0000000000 F:0000] Scanline:000 | PPU Write: [$2100] = $f

[Cyc:0000000025 F:0000] Scanline:000 | PPU Write: [$2122] = $0

[Cyc:0000000027 F:0000] Scanline:000 | PPU Write: [$2122] = $ff

[Cyc:0000000028 F:0000] Scanline:000 | PPU Write: [$2122] = $ff

[Cyc:0000000030 F:0000] Scanline:000 | PPU Write: [$212c] = $1

[Cyc:0000000031 F:0000] Scanline:000 | PPU Write: [$212d] = $0

[Cyc:0000000032 F:0000] Scanline:000 | PPU Write: [$212e] = $0

[Cyc:0000000033 F:0000] Scanline:000 | PPU Write: [$2130] = $0

[Cyc:0000000035 F:0000] Scanline:000 | PPU Write: [$2131] = $30

[Cyc:0000000036 F:0000] Scanline:000 | PPU Write: [$2133] = $0

[Cyc:0000000038 F:0000] Scanline:000 | PPU Write: [$4200] = $1

[Cyc:0000000041 F:0000] Scanline:000 | PPU Write: [$2116] = $0

[Cyc:0000000042 F:0000] Scanline:000 | PPU Write: [$2117] = $0

[Cyc:0000000057 F:0000] Scanline:000 | PPU Write: [$2116] = $0

[Cyc:0000000059 F:0000] Scanline:000 | PPU Write: [$2117] = $40

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2118] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2119] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2118] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2119] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2118] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2119] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2118] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2119] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2118] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2119] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2118] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2119] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2118] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2119] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2118] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2119] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2118] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2119] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2118] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2119] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2118] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2119] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2118] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2119] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2118] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2119] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2118] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2119] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2118] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2119] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2118] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2119] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2118] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2119] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2118] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2119] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2118] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2119] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2118] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2119] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2118] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2119] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2118] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2119] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2118] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2119] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2118] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2119] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2118] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2119] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2118] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2119] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2118] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2119] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2118] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2119] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2118] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2119] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2118] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2119] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2118] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2119] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2118] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2119] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2118] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2119] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2118] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2119] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2118] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2119] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2118] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2119] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2118] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2119] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2118] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2119] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2118] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2119] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2118] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2119] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2118] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2119] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2118] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2119] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2118] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2119] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2118] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2119] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2118] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2119] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2118] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2119] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2118] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2119] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2118] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2119] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2118] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2119] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2118] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2119] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2118] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2119] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2118] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2119] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2118] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2119] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2118] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2119] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2118] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2119] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2118] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2119] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2118] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2119] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2118] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2119] = $0

[Cyc:0000000072 F:0000] Scanline:000 | PPU Write: [$2118] = $0

