CGRAM Dump (512 bytes = 256 colors)
========================================
CGRAM[060] = 0x0000 (RGB: 000, 000, 000)
CGRAM[061] = 0x0000 (RGB: 000, 000, 000)
CGRAM[062] = 0x0000 (RGB: 000, 000, 000)
CGRAM[063] = 0x0000 (RGB: 000, 000, 000)
CGRAM[064] = 0x0000 (RGB: 000, 000, 000)
CGRAM[065] = 0x7c00 (RGB: 000, 000, 0f8)
CGRAM[066] = 0x7c00 (RGB: 000, 000, 0f8)
CGRAM[067] = 0x7c00 (RGB: 000, 000, 0f8)
CGRAM[068] = 0x0000 (RGB: 000, 000, 000)
CGRAM[069] = 0x001f (RGB: 0f8, 000, 000)
CGRAM[06a] = 0x001f (RGB: 0f8, 000, 000)
CGRAM[06b] = 0x001f (RGB: 0f8, 000, 000)
CGRAM[06c] = 0x0000 (RGB: 000, 000, 000)
CGRAM[06d] = 0x7c1f (RGB: 0f8, 000, 0f8)
CGRAM[06e] = 0x7c1f (RGB: 0f8, 000, 0f8)
CGRAM[06f] = 0x7c1f (RGB: 0f8, 000, 0f8)
CGRAM[070] = 0x0000 (RGB: 000, 000, 000)
CGRAM[071] = 0x03e0 (RGB: 000, 0f8, 000)
CGRAM[072] = 0x03e0 (RGB: 000, 0f8, 000)
CGRAM[073] = 0x03e0 (RGB: 000, 0f8, 000)
CGRAM[074] = 0x0000 (RGB: 000, 000, 000)
CGRAM[075] = 0x7fe0 (RGB: 000, 0f8, 0f8)
CGRAM[076] = 0x7fe0 (RGB: 000, 0f8, 0f8)
CGRAM[077] = 0x7fe0 (RGB: 000, 0f8, 0f8)
CGRAM[078] = 0x0000 (RGB: 000, 000, 000)
CGRAM[079] = 0x03ff (RGB: 0f8, 0f8, 000)
CGRAM[07a] = 0x03ff (RGB: 0f8, 0f8, 000)
CGRAM[07b] = 0x03ff (RGB: 0f8, 0f8, 000)
CGRAM[07c] = 0x0000 (RGB: 000, 000, 000)
CGRAM[07d] = 0xffff (RGB: 0f8, 0f8, 0f8)
CGRAM[07e] = 0xffff (RGB: 0f8, 0f8, 0f8)
CGRAM[07f] = 0xffff (RGB: 0f8, 0f8, 0f8)
CGRAM[080] = 0x7393 (RGB: 098, 0e0, 0e0)
CGRAM[081] = 0x7fff (RGB: 0f8, 0f8, 0f8)
CGRAM[082] = 0x0000 (RGB: 000, 000, 000)
CGRAM[083] = 0x0d71 (RGB: 088, 058, 018)
CGRAM[084] = 0x1e9b (RGB: 0d8, 0a0, 038)
CGRAM[085] = 0x3b7f (RGB: 0f8, 0d8, 070)
CGRAM[086] = 0x635f (RGB: 0f8, 0d0, 0c0)
CGRAM[087] = 0x1c16 (RGB: 0b0, 000, 038)
CGRAM[088] = 0x180d (RGB: 068, 000, 030)
CGRAM[089] = 0x301f (RGB: 0f8, 000, 060)
CGRAM[08a] = 0x4144 (RGB: 020, 050, 080)
CGRAM[08b] = 0x59c8 (RGB: 040, 070, 0b0)
CGRAM[08c] = 0x76f0 (RGB: 080, 0b8, 0e8)
CGRAM[08d] = 0x010e (RGB: 070, 040, 000)
CGRAM[08e] = 0x165f (RGB: 0f8, 090, 028)
CGRAM[08f] = 0x03ff (RGB: 0f8, 0f8, 000)
CGRAM[090] = 0x7393 (RGB: 098, 0e0, 0e0)
CGRAM[091] = 0x7fff (RGB: 0f8, 0f8, 0f8)
CGRAM[092] = 0x0000 (RGB: 000, 000, 000)
CGRAM[093] = 0x39ce (RGB: 070, 070, 070)
CGRAM[094] = 0x5294 (RGB: 0a0, 0a0, 0a0)
CGRAM[095] = 0x6318 (RGB: 0c0, 0c0, 0c0)
CGRAM[096] = 0x739c (RGB: 0e0, 0e0, 0e0)
CGRAM[097] = 0x7e00 (RGB: 000, 080, 0f8)
CGRAM[098] = 0x7393 (RGB: 098, 0e0, 0e0)
CGRAM[099] = 0x7fff (RGB: 0f8, 0f8, 0f8)
CGRAM[09a] = 0x0000 (RGB: 000, 000, 000)
CGRAM[09b] = 0x0320 (RGB: 000, 0c8, 000)
CGRAM[09c] = 0x0016 (RGB: 0b0, 000, 000)
CGRAM[09d] = 0x001f (RGB: 0f8, 000, 000)
CGRAM[09e] = 0x017f (RGB: 0f8, 058, 000)
CGRAM[09f] = 0x029f (RGB: 0f8, 0a0, 000)
CGRAM[0a0] = 0x7393 (RGB: 098, 0e0, 0e0)
CGRAM[0a1] = 0x7fff (RGB: 0f8, 0f8, 0f8)
CGRAM[0a2] = 0x0000 (RGB: 000, 000, 000)
CGRAM[0a3] = 0x01ff (RGB: 0f8, 078, 000)
CGRAM[0a4] = 0x031f (RGB: 0f8, 0c0, 000)
CGRAM[0a5] = 0x03ff (RGB: 0f8, 0f8, 000)
CGRAM[0a6] = 0x00b7 (RGB: 0b8, 028, 000)
CGRAM[0a7] = 0x023f (RGB: 0f8, 088, 000)
CGRAM[0a8] = 0x7393 (RGB: 098, 0e0, 0e0)
CGRAM[0a9] = 0x7fff (RGB: 0f8, 0f8, 0f8)
CGRAM[0aa] = 0x0000 (RGB: 000, 000, 000)
CGRAM[0ab] = 0x0320 (RGB: 000, 0c8, 000)
CGRAM[0ac] = 0x347d (RGB: 0e8, 018, 068)
CGRAM[0ad] = 0x551e (RGB: 0f0, 040, 0a8)
CGRAM[0ae] = 0x65ff (RGB: 0f8, 078, 0c8)
CGRAM[0af] = 0x7b1f (RGB: 0f8, 0c0, 0f0)
CGRAM[0b0] = 0x7393 (RGB: 098, 0e0, 0e0)
CGRAM[0b1] = 0x7fff (RGB: 0f8, 0f8, 0f8)
CGRAM[0b2] = 0x0000 (RGB: 000, 000, 000)
CGRAM[0b3] = 0x6d08 (RGB: 040, 040, 0d8)
CGRAM[0b4] = 0x6dad (RGB: 068, 068, 0d8)
CGRAM[0b5] = 0x7e31 (RGB: 088, 088, 0f8)
CGRAM[0b6] = 0x00b7 (RGB: 0b8, 028, 000)
CGRAM[0b7] = 0x023f (RGB: 0f8, 088, 000)
CGRAM[0b8] = 0x7393 (RGB: 098, 0e0, 0e0)
CGRAM[0b9] = 0x7fff (RGB: 0f8, 0f8, 0f8)
CGRAM[0ba] = 0x0000 (RGB: 000, 000, 000)
CGRAM[0bb] = 0x0320 (RGB: 000, 0c8, 000)
CGRAM[0bc] = 0x0380 (RGB: 000, 0e0, 000)
CGRAM[0bd] = 0x1ff1 (RGB: 088, 0f8, 038)
CGRAM[0be] = 0x03f9 (RGB: 0c8, 0f8, 000)
CGRAM[0bf] = 0x4fff (RGB: 0f8, 0f8, 098)
CGRAM[0c0] = 0x7393 (RGB: 098, 0e0, 0e0)
CGRAM[0c1] = 0x7fff (RGB: 0f8, 0f8, 0f8)
CGRAM[0c2] = 0x28d2 (RGB: 090, 030, 050)
CGRAM[0c3] = 0x551e (RGB: 0f0, 040, 0a8)
CGRAM[0c4] = 0x635f (RGB: 0f8, 0d0, 0c0)
CGRAM[0c5] = 0x7b1f (RGB: 0f8, 0c0, 0f0)
CGRAM[0c6] = 0x01fb (RGB: 0d8, 078, 000)
CGRAM[0c7] = 0x02de (RGB: 0f0, 0b0, 000)
CGRAM[0c8] = 0x0000 (RGB: 000, 000, 000)
CGRAM[0c9] = 0x0000 (RGB: 000, 000, 000)
CGRAM[0ca] = 0x0000 (RGB: 000, 000, 000)
CGRAM[0cb] = 0x0000 (RGB: 000, 000, 000)
CGRAM[0cc] = 0x0000 (RGB: 000, 000, 000)
CGRAM[0cd] = 0x0000 (RGB: 000, 000, 000)
CGRAM[0ce] = 0x7fe0 (RGB: 000, 0f8, 0f8)
CGRAM[0cf] = 0x0000 (RGB: 000, 000, 000)
CGRAM[0d0] = 0x7393 (RGB: 098, 0e0, 0e0)
CGRAM[0d1] = 0x7fff (RGB: 0f8, 0f8, 0f8)
CGRAM[0d2] = 0x44c4 (RGB: 020, 030, 088)
CGRAM[0d3] = 0x0320 (RGB: 000, 0c8, 000)
CGRAM[0d4] = 0x4adf (RGB: 0f8, 0b0, 090)
CGRAM[0d5] = 0x0200 (RGB: 000, 080, 000)
CGRAM[0d6] = 0x013b (RGB: 0d8, 048, 000)
CGRAM[0d7] = 0x4e08 (RGB: 040, 080, 098)
CGRAM[0d8] = 0x0000 (RGB: 000, 000, 000)
CGRAM[0d9] = 0x0000 (RGB: 000, 000, 000)
CGRAM[0da] = 0x0000 (RGB: 000, 000, 000)
CGRAM[0db] = 0x0000 (RGB: 000, 000, 000)
CGRAM[0dc] = 0x0000 (RGB: 000, 000, 000)
CGRAM[0dd] = 0x0000 (RGB: 000, 000, 000)
CGRAM[0de] = 0x7fff (RGB: 0f8, 0f8, 0f8)
CGRAM[0df] = 0x0000 (RGB: 000, 000, 000)
CGRAM[0e0] = 0x7393 (RGB: 098, 0e0, 0e0)
CGRAM[0e1] = 0x7fff (RGB: 0f8, 0f8, 0f8)
CGRAM[0e2] = 0x44c4 (RGB: 020, 030, 088)
CGRAM[0e3] = 0x391f (RGB: 0f8, 040, 070)
CGRAM[0e4] = 0x4adf (RGB: 0f8, 0b0, 090)
CGRAM[0e5] = 0x2874 (RGB: 0a0, 018, 050)
CGRAM[0e6] = 0x013f (RGB: 0f8, 048, 000)
CGRAM[0e7] = 0x4e08 (RGB: 040, 080, 098)
CGRAM[0e8] = 0x0000 (RGB: 000, 000, 000)
CGRAM[0e9] = 0x0000 (RGB: 000, 000, 000)
CGRAM[0ea] = 0x0000 (RGB: 000, 000, 000)
CGRAM[0eb] = 0x0000 (RGB: 000, 000, 000)
CGRAM[0ec] = 0x0000 (RGB: 000, 000, 000)
CGRAM[0ed] = 0x0000 (RGB: 000, 000, 000)
CGRAM[0ee] = 0x6d08 (RGB: 040, 040, 0d8)
CGRAM[0ef] = 0x0000 (RGB: 000, 000, 000)
CGRAM[0f0] = 0x7393 (RGB: 098, 0e0, 0e0)
CGRAM[0f1] = 0x365a (RGB: 0d0, 090, 068)
CGRAM[0f2] = 0x290b (RGB: 058, 040, 050)
CGRAM[0f3] = 0x18c3 (RGB: 018, 030, 030)
CGRAM[0f4] = 0x29cc (RGB: 060, 070, 050)
CGRAM[0f5] = 0x51f3 (RGB: 098, 078, 0a0)
CGRAM[0f6] = 0x66d9 (RGB: 0c8, 0b0, 0c8)
CGRAM[0f7] = 0x4526 (RGB: 030, 048, 088)
CGRAM[0f8] = 0x290f (RGB: 078, 040, 050)
CGRAM[0f9] = 0x5ad5 (RGB: 0a8, 0b0, 0b0)
CGRAM[0fa] = 0x5146 (RGB: 030, 050, 0a0)
CGRAM[0fb] = 0x3632 (RGB: 090, 088, 068)
CGRAM[0fc] = 0x4eda (RGB: 0d0, 0b0, 098)
CGRAM[0fd] = 0x2d33 (RGB: 098, 048, 058)
CGRAM[0fe] = 0x18e6 (RGB: 030, 038, 030)
CGRAM[0ff] = 0x6f3a (RGB: 0d0, 0c8, 0d8)
