CGRAM Dump (512 bytes = 256 colors)
========================================
CGRAM[063] = 0x0c63 (RGB: 018, 018, 018)
CGRAM[064] = 0x1084 (RGB: 020, 020, 020)
CGRAM[065] = 0x14a5 (RGB: 028, 028, 028)
CGRAM[066] = 0x18c6 (RGB: 030, 030, 030)
CGRAM[067] = 0x1ce7 (RGB: 038, 038, 038)
CGRAM[068] = 0x2108 (RGB: 040, 040, 040)
CGRAM[069] = 0x2529 (RGB: 048, 048, 048)
CGRAM[06a] = 0x294a (RGB: 050, 050, 050)
CGRAM[06b] = 0x2d6b (RGB: 058, 058, 058)
CGRAM[06c] = 0x318c (RGB: 060, 060, 060)
CGRAM[06d] = 0x35ad (RGB: 068, 068, 068)
CGRAM[06e] = 0x39ce (RGB: 070, 070, 070)
CGRAM[06f] = 0x3def (RGB: 078, 078, 078)
CGRAM[070] = 0x4210 (RGB: 080, 080, 080)
CGRAM[071] = 0x4631 (RGB: 088, 088, 088)
CGRAM[072] = 0x4a52 (RGB: 090, 090, 090)
CGRAM[073] = 0x4e73 (RGB: 098, 098, 098)
CGRAM[074] = 0x5294 (RGB: 0a0, 0a0, 0a0)
CGRAM[075] = 0x56b5 (RGB: 0a8, 0a8, 0a8)
CGRAM[076] = 0x5ad6 (RGB: 0b0, 0b0, 0b0)
CGRAM[077] = 0x5ef7 (RGB: 0b8, 0b8, 0b8)
CGRAM[078] = 0x6318 (RGB: 0c0, 0c0, 0c0)
CGRAM[079] = 0x6739 (RGB: 0c8, 0c8, 0c8)
CGRAM[07a] = 0x6b5a (RGB: 0d0, 0d0, 0d0)
CGRAM[07b] = 0x6f7b (RGB: 0d8, 0d8, 0d8)
CGRAM[07c] = 0x739c (RGB: 0e0, 0e0, 0e0)
CGRAM[07d] = 0x77bd (RGB: 0e8, 0e8, 0e8)
CGRAM[07e] = 0x7bde (RGB: 0f0, 0f0, 0f0)
CGRAM[07f] = 0x7fff (RGB: 0f8, 0f8, 0f8)
CGRAM[080] = 0x0000 (RGB: 000, 000, 000)
CGRAM[081] = 0x0421 (RGB: 008, 008, 008)
CGRAM[082] = 0x0842 (RGB: 010, 010, 010)
CGRAM[083] = 0x0c63 (RGB: 018, 018, 018)
CGRAM[084] = 0x1084 (RGB: 020, 020, 020)
CGRAM[085] = 0x14a5 (RGB: 028, 028, 028)
CGRAM[086] = 0x18c6 (RGB: 030, 030, 030)
CGRAM[087] = 0x1ce7 (RGB: 038, 038, 038)
CGRAM[088] = 0x2108 (RGB: 040, 040, 040)
CGRAM[089] = 0x2529 (RGB: 048, 048, 048)
CGRAM[08a] = 0x294a (RGB: 050, 050, 050)
CGRAM[08b] = 0x2d6b (RGB: 058, 058, 058)
CGRAM[08c] = 0x318c (RGB: 060, 060, 060)
CGRAM[08d] = 0x35ad (RGB: 068, 068, 068)
CGRAM[08e] = 0x39ce (RGB: 070, 070, 070)
CGRAM[08f] = 0x3def (RGB: 078, 078, 078)
CGRAM[090] = 0x4210 (RGB: 080, 080, 080)
CGRAM[091] = 0x4631 (RGB: 088, 088, 088)
CGRAM[092] = 0x4a52 (RGB: 090, 090, 090)
CGRAM[093] = 0x4e73 (RGB: 098, 098, 098)
CGRAM[094] = 0x5294 (RGB: 0a0, 0a0, 0a0)
CGRAM[095] = 0x56b5 (RGB: 0a8, 0a8, 0a8)
CGRAM[096] = 0x5ad6 (RGB: 0b0, 0b0, 0b0)
CGRAM[097] = 0x5ef7 (RGB: 0b8, 0b8, 0b8)
CGRAM[098] = 0x6318 (RGB: 0c0, 0c0, 0c0)
CGRAM[099] = 0x6739 (RGB: 0c8, 0c8, 0c8)
CGRAM[09a] = 0x6b5a (RGB: 0d0, 0d0, 0d0)
CGRAM[09b] = 0x6f7b (RGB: 0d8, 0d8, 0d8)
CGRAM[09c] = 0x739c (RGB: 0e0, 0e0, 0e0)
CGRAM[09d] = 0x77bd (RGB: 0e8, 0e8, 0e8)
CGRAM[09e] = 0x7bde (RGB: 0f0, 0f0, 0f0)
CGRAM[09f] = 0x7fff (RGB: 0f8, 0f8, 0f8)
CGRAM[0a0] = 0x0000 (RGB: 000, 000, 000)
CGRAM[0a1] = 0x0421 (RGB: 008, 008, 008)
CGRAM[0a2] = 0x0842 (RGB: 010, 010, 010)
CGRAM[0a3] = 0x0c63 (RGB: 018, 018, 018)
CGRAM[0a4] = 0x1084 (RGB: 020, 020, 020)
CGRAM[0a5] = 0x14a5 (RGB: 028, 028, 028)
CGRAM[0a6] = 0x18c6 (RGB: 030, 030, 030)
CGRAM[0a7] = 0x1ce7 (RGB: 038, 038, 038)
CGRAM[0a8] = 0x2108 (RGB: 040, 040, 040)
CGRAM[0a9] = 0x2529 (RGB: 048, 048, 048)
CGRAM[0aa] = 0x294a (RGB: 050, 050, 050)
CGRAM[0ab] = 0x2d6b (RGB: 058, 058, 058)
CGRAM[0ac] = 0x318c (RGB: 060, 060, 060)
CGRAM[0ad] = 0x35ad (RGB: 068, 068, 068)
CGRAM[0ae] = 0x39ce (RGB: 070, 070, 070)
CGRAM[0af] = 0x3def (RGB: 078, 078, 078)
CGRAM[0b0] = 0x4210 (RGB: 080, 080, 080)
CGRAM[0b1] = 0x4631 (RGB: 088, 088, 088)
CGRAM[0b2] = 0x4a52 (RGB: 090, 090, 090)
CGRAM[0b3] = 0x4e73 (RGB: 098, 098, 098)
CGRAM[0b4] = 0x5294 (RGB: 0a0, 0a0, 0a0)
CGRAM[0b5] = 0x56b5 (RGB: 0a8, 0a8, 0a8)
CGRAM[0b6] = 0x5ad6 (RGB: 0b0, 0b0, 0b0)
CGRAM[0b7] = 0x5ef7 (RGB: 0b8, 0b8, 0b8)
CGRAM[0b8] = 0x6318 (RGB: 0c0, 0c0, 0c0)
CGRAM[0b9] = 0x6739 (RGB: 0c8, 0c8, 0c8)
CGRAM[0ba] = 0x6b5a (RGB: 0d0, 0d0, 0d0)
CGRAM[0bb] = 0x6f7b (RGB: 0d8, 0d8, 0d8)
CGRAM[0bc] = 0x739c (RGB: 0e0, 0e0, 0e0)
CGRAM[0bd] = 0x77bd (RGB: 0e8, 0e8, 0e8)
CGRAM[0be] = 0x7bde (RGB: 0f0, 0f0, 0f0)
CGRAM[0bf] = 0x7fff (RGB: 0f8, 0f8, 0f8)
CGRAM[0c0] = 0x0000 (RGB: 000, 000, 000)
CGRAM[0c1] = 0x0421 (RGB: 008, 008, 008)
CGRAM[0c2] = 0x0842 (RGB: 010, 010, 010)
CGRAM[0c3] = 0x0c63 (RGB: 018, 018, 018)
CGRAM[0c4] = 0x1084 (RGB: 020, 020, 020)
CGRAM[0c5] = 0x14a5 (RGB: 028, 028, 028)
CGRAM[0c6] = 0x18c6 (RGB: 030, 030, 030)
CGRAM[0c7] = 0x1ce7 (RGB: 038, 038, 038)
CGRAM[0c8] = 0x2108 (RGB: 040, 040, 040)
CGRAM[0c9] = 0x2529 (RGB: 048, 048, 048)
CGRAM[0ca] = 0x294a (RGB: 050, 050, 050)
CGRAM[0cb] = 0x2d6b (RGB: 058, 058, 058)
CGRAM[0cc] = 0x318c (RGB: 060, 060, 060)
CGRAM[0cd] = 0x35ad (RGB: 068, 068, 068)
